participant_id,date,duration,pt_word,participant_response,en_word,real,trial_score
002,2026-07-28 12:02:23,608,ferata,0,NA,0,0
002,2026-07-28 12:02:23,608,fumbão,1,NA,0,-2
002,2026-07-28 12:02:23,608,pálido,1,pale,1,1
002,2026-07-28 12:02:23,608,vagabundo,1,vagabond,1,1
002,2026-07-28 12:02:23,608,relatório,1,report,1,1
002,2026-07-28 12:02:23,608,parietal,1,parietal,1,1
002,2026-07-28 12:02:23,608,imargue,0,NA,0,0
002,2026-07-28 12:02:23,608,polegada,0,inch,1,0
002,2026-07-28 12:02:23,608,vingança,1,revenge,1,1
002,2026-07-28 12:02:23,608,cartino,0,NA,0,0
002,2026-07-28 12:02:23,608,comércio,1,commerce,1,1
002,2026-07-28 12:02:23,608,infantil,1,infant,1,1
002,2026-07-28 12:02:23,608,nulapa,1,NA,0,-2
002,2026-07-28 12:02:23,608,rombura,1,NA,0,-2
002,2026-07-28 12:02:23,608,camada,0,layer,1,0
002,2026-07-28 12:02:23,608,famude,1,NA,0,-2
002,2026-07-28 12:02:23,608,solução,1,solution,1,1
002,2026-07-28 12:02:23,608,malandro,1,trickster,1,1
002,2026-07-28 12:02:23,608,nupcial,0,nuptial,1,0
002,2026-07-28 12:02:23,608,toarte,0,NA,0,0
002,2026-07-28 12:02:23,608,canário,0,canary,1,0
002,2026-07-28 12:02:23,608,invasão,1,invasion,1,1
002,2026-07-28 12:02:23,608,ecinto,0,NA,0,0
002,2026-07-28 12:02:23,608,lufase,1,NA,0,-2
002,2026-07-28 12:02:23,608,paisano,0,patrician,1,0
002,2026-07-28 12:02:23,608,denário,1,denarius,1,1
002,2026-07-28 12:02:23,608,falcão,1,hawk,1,1
002,2026-07-28 12:02:23,608,maltono,0,NA,0,0
002,2026-07-28 12:02:23,608,pueril,0,puerile,1,0
002,2026-07-28 12:02:23,608,industo,0,NA,0,0
002,2026-07-28 12:02:23,608,máquina,1,machine,1,1
002,2026-07-28 12:02:23,608,paranoia,0,paranoid,1,0
002,2026-07-28 12:02:23,608,música,1,music,1,1
002,2026-07-28 12:02:23,608,exhausto,0,NA,NA,0
002,2026-07-28 12:02:23,608,rebelde,0,rebellious,1,0
002,2026-07-28 12:02:23,608,afessa,0,NA,0,0
002,2026-07-28 12:02:23,608,cólera,1,cholera,1,1
002,2026-07-28 12:02:23,608,abutre,0,vulture,1,0
002,2026-07-28 12:02:23,608,adaga,1,dagger,1,1
002,2026-07-28 12:02:23,608,veludo,1,velvet,1,1
002,2026-07-28 12:02:23,608,noção,1,notion,1,1
002,2026-07-28 12:02:23,608,efama,1,NA,0,-2
002,2026-07-28 12:02:23,608,mochila,1,backpack,1,1
002,2026-07-28 12:02:23,608,fracora,0,NA,0,0
002,2026-07-28 12:02:23,608,encalce,1,pursuit,1,1
002,2026-07-28 12:02:23,608,marmita,0,packed lunch,1,0
002,2026-07-28 12:02:23,608,engenhoso,1,ingenious,1,1
002,2026-07-28 12:02:23,608,profecia,0,prophecy,1,0
002,2026-07-28 12:02:23,608,batesta,0,NA,0,0
002,2026-07-28 12:02:23,608,medato,1,NA,0,-2
002,2026-07-28 12:02:23,608,fatídica,0,ominous,1,0
